invNum, driverNum, itemID, invDate, numItem, totItemCost, subTotal, HST, invTotal
001, 1917, 011, 03-12-2022, 1, 119.99, 119.99, 18.00, 137.99
002, 1918, 012, 03-06-2023, 1, 89.99, 89.99, 13.50, 102.99
003, 1921, 012, 06-06-2023, 1, 89.99, 89.99, 13.50, 102.99
004, 1921, 012, 08-06-2023, 3, 89.99, 269.97, 40.50, 310.47
005, 1918, 016, 02-07-2023, 1, 179.99, 179.99, 27.00, 206.99
005, 1918, 020, 02-07-2023, 1, 159.99, 159.99, 24.00, 183.99
006, 1919, 017, 09-07-2023, 1, 129.99, 129.99, 19.50, 149.50
006, 1919, 021, 09-07-2023, 1, 99.99, 99.99, 15.00, 114.99
007, 1918, 012, 10-07-2023, 1, 89.99, 89.99, 13.50, 102.99 
008, 1921, 012, 11-07-2023, 1, 89.99, 89.99, 13.50, 102.99 
009, 1918, 012, 12-07-2023, 1, 89.99, 89.99, 13.50, 102.99 
010, 1921, 012, 13-07-2023, 1, 89.99, 89.99, 13.50, 102.99 
